"Thématiques","Critères",Contact|https://www.service-public.fr/P10017,"Mentions légales|https://www.service-public.fr/P10025","Accessibilité|https://www.service-public.fr/P10000","Aide|https://www.service-public.fr/D10003"
"1","1","c","c","c","c"
"1","2","c","c","c","c"
"1","3","c","c","c","c"
"1","4","na","na","na","na"
"1","5","na","na","na","na"
"1","6","c","c","c","c"
"1","7","na","na","na","na"
"1","8","c","c","c","c"
"1","9","na","na","na","na"
"2","1","na","na","na","na"
"2","2","na","na","na","na"
"3","1","c","c","c","c"
"3","2","c","c","c","c"
"3","3","c","c","c","c"
"4","1","na","na","na","na"
"4","2","na","na","na","na"
"4","3","na","na","na","na"
"4","4","na","na","na","na"
"4","5","na","na","na","na"
"4","6","na","na","na","na"
"4","7","na","na","na","na"
"4","8","na","na","na","na"
"4","9","na","na","na","na"
"4","10","na","na","na","na"
"4","11","na","na","na","na"
"4","12","na","na","na","na"
"4","13","na","na","na","na"
"5","1","na","na","na","na"
"5","2","na","na","na","na"
"5","3","na","na","na","na"
"5","4","na","na","na","na"
"5","5","na","na","na","na"
"5","6","na","na","na","na"
"5","7","na","c","c","c"
"5","8","na","na","na","na"
"6","1","nc|!M!Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|!M!Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|!M!Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`","nc|!M!Dans le panneau de gestion des cookies, un lien n'est pas explicite. Il indique `[object Map] (nouvelle fenêtre)` (il contient aussi un élément html `<undefined>` qui semble être une malfaçon). Attention à l'intitulé ""3939 Allo Service Public"" : pour que les lecteurs d'écran prononcent le numéro correctement, on peut utiliser un aria-label : `<span aria-label=""39 39"">3939</span>`"
"6","2","c","c","c","c"
"7","1","c|!M!Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|!M!Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|!M!Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer.","c|!M!Suggestion : enlever de la complexité en affichant directement le fil d'ariane, sans bouton ""Voir le fil d'ariane"" pour le démasquer."
"7","2","c|!F!Attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|!F!Attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|!F!Attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html","c|!F!Attention le grand public ne comprend peut-être pas le mot ""JavaScript"".|Lien intéressant : https://kryogenix.org/code/browser/everyonehasjs.html"
"7","3","c","c","c","c"
"7","4","c","c","c","c"
"7","5","c","c","c","c"
"8","1","c","c","c","c"
