"Thématiques","Critères","Connexion|https://psl.service-public.fr/mademarche/recensementCitoyen/demarche","Contact|https://www.service-public.fr/P10017","Mentions légales","Accessibilité|https://www.service-public.fr/P10000","Aide|https://www.service-public.fr/D10003","Formulaire (étapes 1 à 5)|https://psl.service-public.fr/mademarche/recensementCitoyen/demarche"
"11","1","c","c","c","c","c","c"
"11","2","c","c","c","c","c","c"
"11","3","na","na","na","na","na","na"
"11","4","c","c","c","c","c","c"
"11","5","c","c","c","c","c","nc|!F!Ni regroupement des champs de type `radio` ni aucune balise `<fieldset>` à l'étape 2 par exemple"
"11","6","na","na","na","na","na","na"
"11","7","na","na","na","na","na","na"
"11","8","na","na","na","na","na","na"
"11","9","c","c","c","c","c","c"
"11","10","c","c","c","c","c","nc|!D!Lorsque l'on demande le pays de la 2e nationalité, on devrait spécifier le format attendu, à savoir le nom du pays en français parmis les pays de la base INSEE. Sinon mieux : on peux imposer la sélection du pays parmi une liste déroulante filtrable. Cf. par exemple [Collapsible Dropdown Listbox Example](https://www.w3.org/TR/wai-aria-practices-1.1/examples/listbox/listbox-collapsible.html)|Pas de message d'erreur autour des 2 cases à cocher dans la section ""Validation"" à l'étape 5 (acceptation des CGU et ""Je certifie avoir pris connaissance des informations relatives à [... informatique et libertés]"")"
"11","11","c","na","na","na","na","c"
"11","12","na","na","na","na","na","na"
"11","13","c","na","na","na","na","c"
"12","1","c","c","c","c","c","c"
"12","2","c","na","na","na","na","nc|!D!Les barres de navigation dans le footer sont différentes"
"12","3","c","c","c","c","c","c"
"12","4","c","c","c","c","c","c"
"12","5","c","c","c","c","c","c"
"12","6","c","c","c","c","c","c"
"12","7","c","c","c","c","c","c"
"12","8","c","c","c","c","c","nc|!F!L'ordre de tabulation est incorrect autour du bouton ""se déconnecter"" en haut à droite"
"12","9","c","c","c","c","c","c"
"12","10","na","na","na","na","na","na"
"12","11","c","c","c","c","c","c"
